# 1/Vmax Method; stellar mass function; ALL, QUIESCENT, and STAR-FORMING galaxies at z=[0.5,1.0)
# [Phi] = number / Mpc^3 / dex
# Ho=70., Omega_lambda=0.7, Omega_matter=0.3
# Muzzin, Marchesini, et al. 2013, ApJ, submitted
#
# Free metallicity in place of Solar metallicity
#
# EU_logPhi,EL_logPhi = upper and lower 1-sigma total random error of logPhi, 
# including Poisson error, cosmic variance, and uncertainties from photometric 
# redshift errors.
#
# A = all galaxies, Q = quiescent galaxies, SF = star-forming galaxies
#
# For any questions, contact Danilo Marchesini (danilo.marchesini@tufts.edu) or Adam Muzzin (muzzin@strw.leidenuniv.nl)
#
#                       A        A        A        Q        Q        Q       SF        SF       SF
#  Mstar    E_Mstar  logPhi    EU_Phi   EL_Phi  logPhi    EU_Phi   EL_Phi  logPhi    EU_Phi   EL_Phi
#
   11.703    0.049   -4.718    0.202    0.199   -4.718    0.201    0.200   -99       -99      -99
   11.605    0.049   -4.167    0.121    0.125   -4.210    0.114    0.128   -99	     -99      -99
   11.508    0.049   -3.834    0.089    0.084   -3.894    0.096    0.086   -4.718    0.311    0.295
   11.410    0.049   -3.759    0.096    0.078   -3.853    0.104    0.083   -4.468    0.147    0.153
   11.312    0.049   -3.380    0.065    0.060   -3.514    0.065    0.065   -3.956    0.119    0.101
   11.214    0.049   -3.123    0.059    0.053   -3.256    0.061    0.055   -3.704    0.072    0.066
   11.117    0.049   -3.009    0.050    0.048   -3.195    0.052    0.051   -3.466    0.060    0.060
   11.019    0.049   -2.846    0.047    0.043   -3.060    0.055    0.047   -3.256    0.052    0.052
   10.921    0.049   -2.717    0.041    0.040   -2.943    0.044    0.042   -3.109    0.046    0.045
   10.824    0.049   -2.621    0.039    0.040   -2.903    0.042    0.044   -2.943    0.044    0.041
   10.726    0.049   -2.534    0.039    0.036   -2.843    0.043    0.042   -2.827    0.041    0.039
   10.628    0.049   -2.513    0.036    0.035   -2.848    0.037    0.038   -2.783    0.039    0.037
   10.530    0.049   -2.500    0.035    0.034   -2.854    0.038    0.037   -2.753    0.037    0.036
   10.433    0.049   -2.423    0.033    0.033   -2.830    0.037    0.037   -2.639    0.034    0.034
   10.335    0.049   -2.409    0.033    0.033   -2.884    0.041    0.038   -2.587    0.033    0.033
   10.237    0.049   -2.396    0.032    0.032   -2.914    0.035    0.045   -2.553    0.033    0.034
   10.139    0.049   -2.456    0.033    0.031   -3.069    0.038    0.042   -2.577    0.036    0.032
   10.042    0.049   -2.357    0.032    0.030   -3.028    0.038    0.038   -2.461    0.033    0.031
    9.944    0.049   -2.344    0.030    0.030   -3.137    0.041    0.061   -2.421    0.031    0.030
    9.846    0.049   -2.299    0.030    0.030   -3.176    0.054    0.043   -2.361    0.029    0.030
    9.748    0.049   -2.267    0.029    0.031   -3.254    0.042    0.047   -2.315    0.029    0.030
    9.651    0.049   -2.285    0.029    0.029   -3.322    0.046    0.050   -2.327    0.030    0.030
    9.553    0.049   -2.206    0.030    0.029   -3.348    0.057    0.051   -2.238    0.030    0.029
    9.455    0.049   -2.174    0.029    0.030   -3.285    0.044    0.097   -2.208    0.029    0.029
    9.358    0.049   -2.159    0.028    0.029   -3.383    0.050    0.077   -2.186    0.029    0.030
    9.260    0.049   -2.170    0.029    0.036   -3.350    0.053    0.112   -2.200    0.030    0.035
    9.162    0.049   -2.116    0.031    0.034   -3.361    0.065    0.116   -2.142    0.031    0.033
    9.064    0.049   -2.112    0.030    0.032   -3.622    0.108    0.110   -2.126    0.030    0.032
    8.967    0.049   -2.092    0.040    0.037   -3.491    0.124    0.145   -2.110    0.042    0.037
