# 1/Vmax Method; stellar mass function; ALL, QUIESCENT, and STAR-FORMING galaxies at z=[1.0,1.5)
# [Phi] = number / Mpc^3 / dex
# Ho=70., Omega_lambda=0.7, Omega_matter=0.3
# Muzzin, Marchesini, et al. 2013, ApJ, submitted
#
# Free metallicity in place of Solar metallicity
#
# EU_logPhi,EL_logPhi = upper and lower 1-sigma total random error of logPhi, 
# including Poisson error, cosmic variance, and uncertainties from photometric 
# redshift errors.
#
# A = all galaxies, Q = quiescent galaxies, SF = star-forming galaxies
#
# For any questions, contact Danilo Marchesini (danilo.marchesini@tufts.edu) or Adam Muzzin (muzzin@strw.leidenuniv.nl)
#
#                       A        A        A        Q        Q        Q       SF        SF       SF
#  Mstar    E_Mstar  logPhi    EU_Phi   EL_Phi  logPhi    EU_Phi   EL_Phi  logPhi    EU_Phi   EL_Phi
#
   11.793    0.049   -5.580    0.511    0.547   -5.881    0.566    0.789   -99       -99      -99
   11.694    0.049   -5.182    0.305    0.346   -5.182    0.316    0.303   -99	     -99      -99
   11.596    0.049   -4.449    0.148    0.178   -4.519    0.155    0.188   -5.279    0.427    0.379
   11.498    0.049   -4.247    0.136    0.104   -4.301    0.153    0.116   -5.182    0.251    0.275
   11.399    0.049   -3.876    0.073    0.082   -3.956    0.079    0.085   -4.650    0.138    0.149
   11.301    0.049   -3.754    0.076    0.067   -3.881    0.092    0.071   -4.349    0.107    0.110
   11.202    0.049   -3.424    0.053    0.054   -3.573    0.058    0.060   -3.962    0.079    0.070
   11.104    0.049   -3.265    0.050    0.049   -3.429    0.054    0.050   -3.767    0.064    0.076
   11.005    0.049   -3.081    0.041    0.043   -3.293    0.045    0.044   -3.495    0.050    0.049
   10.907    0.049   -2.954    0.038    0.039   -3.203    0.045    0.042   -3.315    0.044    0.053
   10.809    0.049   -2.871    0.037    0.037   -3.152    0.040    0.042   -3.194    0.040    0.039
   10.710    0.049   -2.826    0.034    0.039   -3.163    0.037    0.040   -3.094    0.039    0.046
   10.612    0.049   -2.717    0.034    0.035   -3.078    0.036    0.040   -2.966    0.037    0.039
   10.513    0.049   -2.678    0.031    0.031   -3.121    0.036    0.037   -2.872    0.033    0.032
   10.415    0.049   -2.660    0.029    0.031   -3.136    0.039    0.040   -2.837    0.031    0.032
   10.317    0.049   -2.656    0.029    0.031   -3.211    0.039    0.052   -2.798    0.031    0.030
   10.218    0.049   -2.626    0.029    0.032   -3.255    0.039    0.044   -2.743    0.031    0.032
   10.120    0.049   -2.643    0.028    0.029   -3.360    0.042    0.042   -2.736    0.029    0.029
   10.021    0.049   -2.551    0.026    0.028   -3.335    0.044    0.070   -2.629    0.027    0.028
    9.923    0.049   -2.555    0.027    0.027   -3.484    0.048    0.048   -2.609    0.028    0.027
    9.824    0.049   -2.486    0.028    0.029   -3.450    0.054    0.066   -2.536    0.031    0.029
    9.726    0.049   -2.428    0.027    0.030   -3.615    0.062    0.077   -2.457    0.028    0.029
    9.628    0.049   -2.394    0.031    0.033   -3.609    0.100    0.107   -2.421    0.031    0.034
    9.529    0.049   -2.438    0.055    0.052   -3.783    0.232    0.210   -2.458    0.059    0.061
