# 1/Vmax Method; stellar mass function; ALL, QUIESCENT, and STAR-FORMING galaxies at z=[0.2,0.5)
# [Phi] = number / Mpc^3 / dex
# Ho=70., Omega_lambda=0.7, Omega_matter=0.3
# Muzzin, Marchesini, et al. 2013, ApJ, submitted
#
# Free metallicity in place of Solar metallicity
#
# EU_logPhi,EL_logPhi = upper and lower 1-sigma total random error of logPhi, 
# including Poisson error, cosmic variance, and uncertainties from photometric 
# redshift errors.
#
# A = all galaxies, Q = quiescent galaxies, SF = star-forming galaxies
#
# For any questions, contact Danilo Marchesini (danilo.marchesini@tufts.edu) or Adam Muzzin (muzzin@strw.leidenuniv.nl)
#
#                       A        A        A        Q        Q        Q       SF        SF       SF
#  Mstar    E_Mstar  logPhi    EU_Phi   EL_Phi  logPhi    EU_Phi   EL_Phi  logPhi    EU_Phi   EL_Phi
#
   11.992    0.050   -4.703    0.386    0.466   -4.703    0.386    0.466   -99       -99      -99
   11.893    0.050   -5.004    0.574    0.782   -5.004    0.574    0.782   -99       -99      -99
   11.794    0.050   -4.527    0.315    0.384   -4.527    0.315    0.384   -99       -99      -99
   11.695    0.050   -4.305    0.247    0.294   -4.402    0.273    0.326   -99       -99      -99
   11.595    0.050   -3.925    0.306    0.187   -4.004    0.308    0.197   -99       -99      -99
   11.496    0.050   -3.661    0.145    0.140   -3.725    0.153    0.148   -4.527    0.353    0.350
   11.397    0.050   -3.256    0.107    0.125   -3.305    0.108    0.125   -4.226    0.272    0.424
   11.298    0.050   -3.040    0.096    0.094   -3.112    0.094    0.097   -3.858    0.172    0.207
   11.198    0.050   -3.012    0.101    0.090   -3.117    0.098    0.093   -3.681    0.232    0.160
   11.099    0.050   -2.758    0.079    0.079   -2.896    0.089    0.082   -3.322    0.107    0.108
   11.000    0.050   -2.720    0.075    0.074   -2.839    0.077    0.077   -3.341    0.099    0.096
   10.901    0.050   -2.569    0.069    0.071   -2.734    0.072    0.075   -3.069    0.089    0.082
   10.801    0.050   -2.532    0.071    0.066   -2.771    0.079    0.073   -2.907    0.077    0.074
   10.702    0.050   -2.418    0.069    0.063   -2.671    0.075    0.067   -2.773    0.073    0.069
   10.603    0.050   -2.377    0.062    0.062   -2.644    0.067    0.068   -2.716    0.066    0.068
   10.504    0.050   -2.350    0.062    0.060   -2.690    0.067    0.066   -2.615    0.066    0.064
   10.404    0.050   -2.329    0.061    0.059   -2.690    0.069    0.067   -2.577    0.065    0.063
   10.305    0.050   -2.331    0.062    0.058   -2.763    0.073    0.068   -2.531    0.064    0.062
   10.206    0.050   -2.337    0.060    0.058   -2.771    0.067    0.067   -2.537    0.066    0.062
   10.107    0.050   -2.270    0.058    0.056   -2.741    0.070    0.065   -2.449    0.061    0.058
   10.008    0.050   -2.284    0.060    0.055   -2.877    0.095    0.068   -2.413    0.057    0.056
    9.908    0.050   -2.225    0.055    0.055   -2.839    0.065    0.084   -2.346    0.056    0.056
    9.809    0.050   -2.243    0.056    0.053   -2.877    0.081    0.074   -2.357    0.056    0.054
    9.710    0.050   -2.219    0.053    0.053   -2.928    0.066    0.078   -2.314    0.054    0.054
    9.611    0.050   -2.143    0.056    0.053   -2.839    0.071    0.077   -2.240    0.057    0.053
    9.511    0.050   -2.108    0.052    0.052   -2.858    0.068    0.075   -2.193    0.055    0.052
    9.412    0.050   -2.075    0.056    0.053   -2.890    0.077    0.067   -2.147    0.055    0.052
    9.313    0.050   -2.028    0.056    0.052   -2.851    0.076    0.077   -2.099    0.055    0.052
    9.214    0.050   -1.960    0.051    0.051   -2.794    0.065    0.068   -2.028    0.052    0.051
    9.114    0.050   -1.925    0.051    0.050   -2.720    0.061    0.062   -2.000    0.051    0.051
    9.015    0.050   -1.899    0.050    0.050   -2.737    0.060    0.085   -1.967    0.054    0.051
    8.916    0.050   -1.843    0.050    0.049   -2.688    0.064    0.071   -1.910    0.050    0.050
    8.817    0.050   -1.856    0.050    0.050   -2.737    0.065    0.085   -1.917    0.051    0.050
    8.717    0.050   -1.794    0.050    0.052   -2.763    0.071    0.106   -1.844    0.050    0.051
    8.618    0.050   -1.772    0.052    0.052   -2.827    0.091    0.124   -1.812    0.052    0.052
    8.519    0.050   -1.737    0.055    0.056   -2.625    0.094    0.107   -1.798    0.057    0.057
    8.420    0.050   -1.651    0.080    0.091   -2.582    0.177    0.218   -1.705    0.090    0.097
