# mass-metallicity data from Tremonti et al. 2004
#8.57	8.18	8.25	8.44	8.64	8.77
8.67	8.11	8.28	8.48	8.65	8.84
8.76	8.13	8.32	8.57	8.70	8.88
8.86	8.14	8.37	8.61	8.73	8.89
8.96	8.21	8.46	8.63	8.75	8.95
9.06	8.26	8.56	8.66	8.82	8.97
9.16	8.37	8.59	8.68	8.82	8.95
9.26	8.39	8.60	8.71	8.86	9.04
9.36	8.46	8.63	8.74	8.88	9.03
9.46	8.53	8.66	8.78	8.92	9.07
9.57	8.59	8.69	8.82	8.94	9.08
9.66	8.60	8.72	8.84	8.96	9.09
9.76	8.63	8.76	8.87	8.99	9.10
9.86	8.67	8.80	8.90	9.01	9.12
9.96	8.71	8.83	8.94	9.05	9.14
10.06	8.74	8.85	8.97	9.06	9.15
10.16	8.77	8.88	8.99	9.09	9.16
10.26	8.80	8.92	9.01	9.10	9.17
10.36	8.82	8.94	9.03	9.11	9.18
10.46	8.85	8.96	9.05	9.12	9.21
10.56	8.87	8.98	9.07	9.14	9.21
10.66	8.89	9.00	9.08	9.15	9.23
10.76	8.91	9.01	9.09	9.15	9.24
10.86	8.93	9.02	9.10	9.16	9.25
10.95	8.93	9.03	9.11	9.17	9.26
11.05	8.92	9.03	9.11	9.17	9.27
11.15	8.94	9.04	9.12	9.18	9.29
11.25	8.93	9.03	9.12	9.18	9.29
